gene_callers_id	source	accession	function	e_value
AMXMAG_0088___4604	KOfam	K01940	argininosuccinate synthase [EC:6.3.4.5]	1e-203
AMXMAG_0088___3794	KOfam	K06020	energy-dependent translational throttle protein EttA	6.9e-267
AMXMAG_0088___4552	KOfam	K02520	translation initiation factor IF-3	6.6e-54
AMXMAG_0088___3609	KOfam	K00337	NADH-quinone oxidoreductase subunit H [EC:7.1.1.2]	1.1e-149
AMXMAG_0088___4564	KOfam	K03602	exodeoxyribonuclease VII small subunit [EC:3.1.11.6]	6.5e-23
AMXMAG_0088___3534	KOfam	K07316	adenine-specific DNA-methyltransferase [EC:2.1.1.72]	1.4e-85
AMXMAG_0088___3600	KOfam	K02078	acyl carrier protein	1.5e-22
AMXMAG_0088___4166	KOfam	K07114	Ca-activated chloride channel homolog	5.4e-33
AMXMAG_0088___4312	KOfam	K00928	aspartate kinase [EC:2.7.2.4]	3.7e-136
AMXMAG_0088___3720	KOfam	K06381	stage II sporulation protein D	4.8e-77
AMXMAG_0088___3638	KOfam	K03574	8-oxo-dGTP diphosphatase [EC:3.6.1.55]	2.1e-27
AMXMAG_0088___3496	KOfam	K02483	two-component system, OmpR family, response regulator	2.6e-84
AMXMAG_0088___4137	KOfam	K00294	1-pyrroline-5-carboxylate dehydrogenase [EC:1.2.1.88]	2.1e-253
AMXMAG_0088___3822	KOfam	K02454	general secretion pathway protein E [EC:7.4.2.8]	1.6e-196
AMXMAG_0088___4577	KOfam	K04757	serine/threonine-protein kinase RsbW [EC:2.7.11.1]	2.3e-28
AMXMAG_0088___4486	KOfam	K04757	serine/threonine-protein kinase RsbW [EC:2.7.11.1]	1.1e-21
AMXMAG_0088___4509	KOfam	K01613	phosphatidylserine decarboxylase [EC:4.1.1.65]	2.7e-58
AMXMAG_0088___4179	KOfam	K01613	phosphatidylserine decarboxylase [EC:4.1.1.65]	2.6e-54
AMXMAG_0088___4277	KOfam	K07263	zinc protease [EC:3.4.24.-]	3.5e-142
AMXMAG_0088___4572	KOfam	K07277	outer membrane protein insertion porin family	1.6e-98
AMXMAG_0088___4283	KOfam	K02482	two-component system, NtrC family, sensor kinase [EC:2.7.13.3]	4.3e-92
AMXMAG_0088___4009	KOfam	K01835	phosphoglucomutase [EC:5.4.2.2]	1.9e-101
AMXMAG_0088___4284	KOfam	K07713	two-component system, NtrC family, response regulator HydG	5.6e-181
AMXMAG_0088___3826	KOfam	K07713	two-component system, NtrC family, response regulator HydG	2.5e-178
AMXMAG_0088___4020	KOfam	K03575	A/G-specific adenine glycosylase [EC:3.2.2.31]	1.8e-105
AMXMAG_0088___4067	KOfam	K13955	zinc-binding alcohol dehydrogenase/oxidoreductase	6.4e-108
AMXMAG_0088___3932	KOfam	K00134	glyceraldehyde 3-phosphate dehydrogenase (phosphorylating) [EC:1.2.1.12]	7.6e-146
AMXMAG_0088___4232	KOfam	K02045	sulfate/thiosulfate transport system ATP-binding protein [EC:7.3.2.3]	1.9e-151
AMXMAG_0088___3955	KOfam	K07317	adenine-specific DNA-methyltransferase [EC:2.1.1.72]	4.5e-99
AMXMAG_0088___3672	KOfam	K03603	GntR family transcriptional regulator, negative regulator for fad regulon and positive regulator of fabA	7.4e-80
AMXMAG_0088___3922	KOfam	K02535	UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase [EC:3.5.1.108]	5.3e-108
AMXMAG_0088___4285	KOfam	K06974	archaemetzincin [EC:3.4.-.-]	6.3e-23
AMXMAG_0088___4445	KOfam	K03832	periplasmic protein TonB	6e-19
AMXMAG_0088___3606	KOfam	K00334	NADH-quinone oxidoreductase subunit E [EC:7.1.1.2]	2.8e-63
AMXMAG_0088___4378	KOfam	K07315	phosphoserine phosphatase RsbU/P [EC:3.1.3.3]	2.3e-81
AMXMAG_0088___4543	KOfam	K07315	phosphoserine phosphatase RsbU/P [EC:3.1.3.3]	5.3e-74
AMXMAG_0088___3784	KOfam	K07315	phosphoserine phosphatase RsbU/P [EC:3.1.3.3]	1.7e-73
AMXMAG_0088___4250	KOfam	K07315	phosphoserine phosphatase RsbU/P [EC:3.1.3.3]	1.6e-52
AMXMAG_0088___4563	KOfam	K03601	exodeoxyribonuclease VII large subunit [EC:3.1.11.6]	3.2e-145
AMXMAG_0088___4231	KOfam	K02047	sulfate/thiosulfate transport system permease protein	2e-130
AMXMAG_0088___4333	KOfam	K08224	MFS transporter, YNFM family, putative membrane transport protein	7.5e-141
AMXMAG_0088___3823	KOfam	K02669	twitching motility protein PilT	6.3e-174
AMXMAG_0088___3648	KOfam	K02669	twitching motility protein PilT	1.4e-171
AMXMAG_0088___4357	KOfam	K00283	glycine cleavage system P protein (glycine dehydrogenase) subunit 2 [EC:1.4.4.2]	1.5e-215
AMXMAG_0088___3926	KOfam	K13599	two-component system, NtrC family, nitrogen regulation response regulator NtrX	7.2e-149
AMXMAG_0088___4545	KOfam	K13599	two-component system, NtrC family, nitrogen regulation response regulator NtrX	4e-142
AMXMAG_0088___3935	KOfam	K01638	malate synthase [EC:2.3.3.9]	1.4e-265
AMXMAG_0088___4422	KOfam	K01604	methylmalonyl-CoA decarboxylase subunit alpha [EC:7.2.4.3]	9.5e-238
AMXMAG_0088___3804	KOfam	K02456	general secretion pathway protein G	7.1e-30
AMXMAG_0088___3925	KOfam	K13598	two-component system, NtrC family, nitrogen regulation sensor histidine kinase NtrY [EC:2.7.13.3]	2.9e-157
AMXMAG_0088___4356	KOfam	K00282	glycine cleavage system P protein (glycine dehydrogenase) subunit 1 [EC:1.4.4.2]	1e-163
AMXMAG_0088___3826	KOfam	K02481	two-component system, NtrC family, response regulator	5.2e-176
AMXMAG_0088___4284	KOfam	K02481	two-component system, NtrC family, response regulator	4.5e-172
AMXMAG_0088___3766	KOfam	K07076	uncharacterized protein	3e-16
AMXMAG_0088___3921	KOfam	K07076	uncharacterized protein	3.7e-13
AMXMAG_0088___3825	KOfam	K02668	two-component system, NtrC family, sensor histidine kinase PilS [EC:2.7.13.3]	1.4e-120
AMXMAG_0088___4477	KOfam	K07089	uncharacterized protein	7.4e-63
AMXMAG_0088___3700	KOfam	K07102	N-acetylmuramate 1-kinase [EC:2.7.1.221]	7e-47
AMXMAG_0088___4600	KOfam	K03402	transcriptional regulator of arginine metabolism	5.5e-50
AMXMAG_0088___4230	KOfam	K02046	sulfate/thiosulfate transport system permease protein	1.7e-121
AMXMAG_0088___4273	KOfam	K00335	NADH-quinone oxidoreductase subunit F [EC:7.1.1.2]	2.4e-227
AMXMAG_0088___3607	KOfam	K00335	NADH-quinone oxidoreductase subunit F [EC:7.1.1.2]	2.7e-196
AMXMAG_0088___3774	KOfam	K18208	renalase [EC:1.6.3.5]	5.5e-61
AMXMAG_0088___3752	KOfam	K03628	transcription termination factor Rho	7.3e-154
AMXMAG_0088___4008	KOfam	K06988	8-hydroxy-5-deazaflavin:NADPH oxidoreductase [EC:1.5.1.40]	1.9e-55
AMXMAG_0088___4618	KOfam	K03833	selenocysteine-specific elongation factor	1.2e-132
AMXMAG_0088___3798	KOfam	K23265	phosphoribosylformylglycinamidine synthase subunit PurQ / glutaminase [EC:6.3.5.3 3.5.1.2]	1e-107
AMXMAG_0088___3661	KOfam	K21472	peptidoglycan LD-endopeptidase LytH [EC:3.4.-.-]	5.9e-35
AMXMAG_0088___4313	KOfam	K00872	homoserine kinase [EC:2.7.1.39]	1.5e-79
AMXMAG_0088___4579	KOfam	K03406	methyl-accepting chemotaxis protein	4.9e-44
AMXMAG_0088___4587	KOfam	K00641	homoserine O-acetyltransferase/O-succinyltransferase [EC:2.3.1.31 2.3.1.46]	2.9e-101
AMXMAG_0088___4599	KOfam	K00127	formate dehydrogenase subunit gamma	1.3e-36
AMXMAG_0088___4054	KOfam	K00655	1-acyl-sn-glycerol-3-phosphate acyltransferase [EC:2.3.1.51]	9.8e-57
AMXMAG_0088___3817	KOfam	K00912	tetraacyldisaccharide 4'-kinase [EC:2.7.1.130]	7.2e-97
AMXMAG_0088___3666	KOfam	K00906	isocitrate dehydrogenase kinase/phosphatase [EC:2.7.11.5 3.1.3.-]	1.7e-207
AMXMAG_0088___3652	KOfam	K02687	ribosomal protein L11 methyltransferase [EC:2.1.1.-]	1.7e-49
AMXMAG_0088___4002	KOfam	K07066	uncharacterized protein	5.3e-29
AMXMAG_0088___3826	KOfam	K07714	two-component system, NtrC family, response regulator AtoC	1.9e-175
AMXMAG_0088___4284	KOfam	K07714	two-component system, NtrC family, response regulator AtoC	2.2e-173
AMXMAG_0088___3780	KOfam	K13985	N-acyl-phosphatidylethanolamine-hydrolysing phospholipase D [EC:3.1.4.54]	2e-100
AMXMAG_0088___3806	KOfam	K02453	general secretion pathway protein D	5.9e-88
AMXMAG_0088___3719	KOfam	K12132	eukaryotic-like serine/threonine-protein kinase [EC:2.7.11.1]	5.6e-110
AMXMAG_0088___4351	KOfam	K12132	eukaryotic-like serine/threonine-protein kinase [EC:2.7.11.1]	1.2e-102
AMXMAG_0088___4249	KOfam	K12132	eukaryotic-like serine/threonine-protein kinase [EC:2.7.11.1]	1e-99
AMXMAG_0088___4141	KOfam	K12132	eukaryotic-like serine/threonine-protein kinase [EC:2.7.11.1]	7.5e-99
AMXMAG_0088___4613	KOfam	K12132	eukaryotic-like serine/threonine-protein kinase [EC:2.7.11.1]	9.1e-96
AMXMAG_0088___3842	KOfam	K12132	eukaryotic-like serine/threonine-protein kinase [EC:2.7.11.1]	2.9e-95
AMXMAG_0088___4596	KOfam	K12132	eukaryotic-like serine/threonine-protein kinase [EC:2.7.11.1]	2.4e-93
